Date,Close Price
07-Jun-24,178.95
10-Jun-24,180.2
11-Jun-24,181.35
12-Jun-24,182.25
13-Jun-24,182.5
14-Jun-24,183.05
18-Jun-24,181.15
19-Jun-24,180.05
20-Jun-24,182.35
21-Jun-24,179.85
24-Jun-24,177.9
25-Jun-24,175.7
26-Jun-24,172.55
27-Jun-24,174.15
28-Jun-24,174
01-Jul-24,174.1
02-Jul-24,174.5
03-Jul-24,176.35
04-Jul-24,176.25
05-Jul-24,174.75
08-Jul-24,172.3
09-Jul-24,171.8
10-Jul-24,168
11-Jul-24,169
12-Jul-24,168.7
15-Jul-24,166.8
16-Jul-24,167.05
18-Jul-24,166.35
19-Jul-24,157.75
22-Jul-24,160.35
23-Jul-24,160.05
24-Jul-24,160.3
25-Jul-24,157.45
26-Jul-24,162.6
29-Jul-24,162.85
30-Jul-24,164.05
31-Jul-24,165.35
01-Aug-24,163.05
02-Aug-24,158.2
05-Aug-24,149.8
06-Aug-24,150.25
07-Aug-24,153.85
08-Aug-24,150.5
09-Aug-24,151.8
12-Aug-24,152.05
13-Aug-24,148.9
14-Aug-24,146.2
16-Aug-24,149.55
19-Aug-24,153.95
20-Aug-24,154
21-Aug-24,151.9
22-Aug-24,154.1
23-Aug-24,154.15
26-Aug-24,155.65
27-Aug-24,154.7
28-Aug-24,153.7
29-Aug-24,153
30-Aug-24,152.8
02-Sep-24,152.85
03-Sep-24,152.1
04-Sep-24,151.3
05-Sep-24,151.75
06-Sep-24,151.25
09-Sep-24,149.4
10-Sep-24,149.45
11-Sep-24,148.15
12-Sep-24,151.75
13-Sep-24,153.4
16-Sep-24,154.2
17-Sep-24,152.8
18-Sep-24,150.6
19-Sep-24,149.6
20-Sep-24,152.05
23-Sep-24,153.95
24-Sep-24,160.55
25-Sep-24,161.6
26-Sep-24,165.6
27-Sep-24,166.5
30-Sep-24,168.45
